series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000353,product B,V1E2,po_001041,po_001040,1163,0,2079,center_2,0,0,0,0,1,0,0,0,0,0,1275,1
sn_000353,product B,V1E2,po_001042,po_001041,1275,1,3354,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000354,product B,V1E1,po_001043,MFG,771,0,771,center_0,0,0,0,0,1,0,0,0,0,0,1233,0
sn_000354,product B,V1E2,po_001044,po_001043,1233,0,2004,center_2,0,0,0,0,1,0,0,0,0,0,1343,1
sn_000354,product B,V1E2,po_001045,po_001044,1343,1,3347,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000355,product B,V1E1,po_001046,MFG,513,0,513,center_0,0,1,0,0,0,0,1,0,0,1,845,0
sn_000355,product B,V1E1,po_001047,po_001046,845,0,1358,center_2,0,0,0,0,1,0,0,0,0,0,1970,1
sn_000355,product B,V1E2,po_001048,po_001047,1970,1,3328,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000356,product B,V1E1,po_001049,MFG,990,0,990,center_0,0,0,0,0,1,0,0,0,0,0,253,0
sn_000356,product B,V1E2,po_001050,po_001049,253,0,1243,center_1,0,0,0,1,0,0,0,0,0,1,1089,0
sn_000356,product B,V1E2,po_001051,po_001050,1089,0,2332,center_1,0,0,0,0,1,0,0,0,0,0,997,1
sn_000356,product B,V1E2,po_001052,po_001051,997,1,3329,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000357,product B,V1E1,po_001053,MFG,3355,1,3355,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000358,product B,V1E1,po_001054,MFG,3320,1,3320,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000359,product B,V1E1,po_001055,MFG,1421,0,1421,center_0,0,0,0,0,1,0,0,0,0,0,1296,0
sn_000359,product B,V1E2,po_001056,po_001055,1296,0,2717,center_2,1,1,1,0,1,0,0,0,0,0,596,1
sn_000359,product B,V1E3,po_001057,po_001056,596,1,3313,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000360,product B,V1E1,po_001058,MFG,1337,1,1337,center_0,0,0,0,0,0,0,0,0,0,0,72,0
sn_000360,product B,V1E1,po_001059,po_001058,72,0,1409,center_2,0,1,0,1,1,0,0,0,0,0,998,0
sn_000360,product B,V1E2,po_001060,po_001059,998,0,2407,center_2,1,0,0,0,0,0,0,0,0,0,905,1
sn_000360,product B,V1E2,po_001061,po_001060,905,1,3312,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000361,product B,V1E1,po_001062,MFG,1032,0,1032,center_0,0,0,0,0,1,0,0,0,0,0,1453,0
sn_000361,product B,V1E2,po_001063,po_001062,1453,0,2485,center_2,1,0,1,0,1,0,0,0,0,0,821,1
sn_000361,product B,V1E3,po_001064,po_001063,821,1,3306,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000362,product B,V1E1,po_001065,MFG,1165,0,1165,center_0,1,0,0,0,1,0,0,0,0,0,1322,0
sn_000362,product B,V1E2,po_001066,po_001065,1322,0,2487,center_2,0,0,0,0,1,0,0,0,0,0,806,1
sn_000362,product B,V1E3,po_001067,po_001066,806,1,3293,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000363,product B,V1E2,po_001068,po_001072,404,0,404,center_1,0,0,0,0,1,0,0,0,0,0,443,0
sn_000363,product B,V1E3,po_001069,po_001068,443,0,847,center_2,0,0,0,0,0,1,0,0,0,0,902,0
sn_000363,product B,V1E1,po_001070,MFG,902,0,1749,center_0,0,0,0,0,0,1,0,0,0,0,796,0
sn_000363,product B,V1E1,po_001071,po_001070,796,0,2545,center_1,1,1,1,0,0,0,0,0,0,0,477,0
sn_000363,product B,V1E1,po_001072,po_001071,477,0,3022,center_1,0,0,0,0,1,0,0,0,0,0,1127,1
sn_000363,product B,V1E2,po_001073,po_001072,1127,1,4149,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000364,product B,V1E1,po_001074,MFG,1252,0,1252,center_0,0,0,0,0,1,1,0,0,0,0,2061,1
sn_000364,product B,V1E2,po_001075,po_001074,2061,1,3313,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000365,product B,V1E1,po_001076,MFG,1008,0,1008,center_0,0,0,0,0,0,1,0,0,0,0,1490,0
sn_000365,product B,V1E1,po_001077,po_001076,1490,0,2498,center_2,0,0,0,0,1,0,0,0,0,1,799,1
sn_000365,product B,V1E3,po_001078,po_001077,799,1,3297,center_2,0,0,0,0,0,0,0,0,0,0,,
